File Name:	PMMA_DE_6mm_60Kmin_4mg_R1.txt
Version: 8.3.7.3
Date:	06 Aug 2024
Operator:	KH
Test ID:	PMMA_DE_6mm_4mg_60K_R1
Sample ID:	PMMA_DE_6mm_4mg
Sample Mass (mg):	4.0200
Sample Cup Mass (mg):	182.3000
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.875
Baseline O2:	20.432
Instrument ID:
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
18.000	80.055	80.057	19.996	101.475	20.127	6.149	0.706	900.360
18.500	80.392	80.058	19.996	101.450	20.133	5.982	0.693	900.339
19.000	80.767	80.056	19.997	101.417	20.143	5.507	0.712	900.316
19.500	81.156	80.056	19.997	101.380	20.149	5.293	0.763	900.336
20.000	81.554	80.055	19.997	101.336	20.158	4.797	0.787	900.350
20.500	81.974	80.054	19.997	101.303	20.163	4.673	0.819	900.333
21.000	82.365	80.052	19.997	101.269	20.171	4.317	0.811	900.363
21.500	82.760	80.054	19.998	101.240	20.172	4.557	0.785	900.325
22.000	83.227	80.055	19.999	101.215	20.179	4.346	0.861	900.355
22.500	83.648	80.055	19.998	101.195	20.184	4.158	0.888	900.346
23.000	84.104	80.057	19.998	101.171	20.189	4.077	0.877	900.320
23.500	84.545	80.054	19.998	101.146	20.196	3.767	0.897	900.352
24.000	84.974	80.055	19.998	101.117	20.198	3.766	0.869	900.353
24.500	85.460	80.057	19.998	101.094	20.201	3.657	0.916	900.348
25.000	85.891	80.057	19.998	101.071	20.206	3.462	0.918	900.322
25.500	86.344	80.056	19.997	101.048	20.210	3.322	0.884	900.303
25.999	86.828	80.056	19.997	101.029	20.209	3.623	0.938	900.344
26.499	87.338	80.054	19.996	101.014	20.216	3.289	0.994	900.329
27.000	87.804	80.057	19.997	100.998	20.220	3.187	0.975	900.324
27.500	88.296	80.053	19.998	100.983	20.225	3.010	0.956	900.312
28.001	88.778	80.054	19.996	100.964	20.225	3.142	0.974	900.335
28.500	89.267	80.054	19.998	100.939	20.231	2.788	0.972	900.323
29.000	89.760	80.053	19.997	100.921	20.233	2.724	0.983	900.297
29.500	90.225	80.057	19.997	100.900	20.234	2.746	0.958	900.321
30.000	90.748	80.057	19.998	100.882	20.239	2.520	0.988	900.335
30.500	91.250	80.056	19.998	100.866	20.242	2.374	1.026	900.301
31.000	91.747	80.056	19.997	100.853	20.242	2.458	0.999	900.304
31.500	92.264	80.053	19.997	100.841	20.244	2.436	1.014	900.268
32.000	92.759	80.056	19.997	100.832	20.251	2.068	1.012	900.286
32.501	93.293	80.056	19.997	100.821	20.250	2.236	1.028	900.316
33.001	93.777	80.054	19.998	100.809	20.250	2.221	1.018	900.273
33.500	94.304	80.056	19.996	100.794	20.251	2.158	1.012	900.329
34.000	94.827	80.057	19.998	100.777	20.253	2.030	1.051	900.307
34.500	95.295	80.055	19.998	100.764	20.251	2.325	0.991	900.266
35.000	95.860	80.057	19.996	100.749	20.256	1.982	1.032	900.271
35.501	96.360	80.057	19.996	100.738	20.258	1.974	1.065	900.285
36.001	96.901	80.057	19.997	100.737	20.261	1.737	1.041	900.308
36.500	97.409	80.056	19.996	100.731	20.264	1.570	1.048	900.313
37.000	97.929	80.054	19.997	100.722	20.263	1.716	1.028	900.298
37.500	98.445	80.057	19.997	100.713	20.265	1.547	1.037	900.290
38.000	98.970	80.057	19.998	100.706	20.266	1.518	1.042	900.291
38.500	99.507	80.054	19.997	100.694	20.266	1.508	1.062	900.293
39.000	100.030	80.055	19.997	100.687	20.270	1.314	1.060	900.275
39.500	100.529	80.054	19.997	100.680	20.271	1.362	1.022	900.280
40.000	101.080	80.052	19.997	100.676	20.270	1.555	1.050	900.304
40.500	101.619	80.055	19.997	100.673	20.272	1.474	1.089	900.254
41.001	102.116	80.056	19.997	100.672	20.272	1.585	1.036	900.268
41.500	102.641	80.055	19.997	100.670	20.273	1.591	1.022	900.243
42.000	103.186	80.054	19.997	100.665	20.273	1.755	1.069	900.266
42.500	103.699	80.055	19.997	100.659	20.273	1.804	1.058	900.279
43.001	104.236	80.056	19.997	100.649	20.274	1.683	1.049	900.269
43.501	104.758	80.055	19.996	100.647	20.276	1.541	1.058	900.259
44.001	105.301	80.054	19.997	100.641	20.276	1.646	1.065	900.281
44.501	105.819	80.056	19.997	100.643	20.274	1.853	1.062	900.253
45.000	106.349	80.054	19.997	100.644	20.277	1.609	1.049	900.244
45.500	106.894	80.052	19.998	100.645	20.280	1.380	1.076	900.256
46.000	107.403	80.055	19.995	100.636	20.278	1.588	1.054	900.239
46.500	107.982	80.056	19.997	100.630	20.277	1.749	1.087	900.238
47.000	108.514	80.057	19.997	100.621	20.281	1.458	1.112	900.261
47.500	109.054	80.055	19.997	100.612	20.283	1.323	1.072	900.235
48.000	109.561	80.054	19.996	100.604	20.281	1.451	1.047	900.237
48.500	110.098	80.055	19.995	100.603	20.282	1.329	1.044	900.245
49.000	110.655	80.054	19.995	100.594	20.281	1.412	1.094	900.217
49.500	111.173	80.056	19.998	100.585	20.286	1.090	1.075	900.229
50.001	111.716	80.058	19.996	100.585	20.283	1.318	1.060	900.223
50.501	112.266	80.058	19.996	100.584	20.288	0.875	1.094	900.237
51.000	112.782	80.057	19.998	100.577	20.285	1.164	1.067	900.229
51.500	113.312	80.060	19.997	100.580	20.286	1.256	1.046	900.205
52.000	113.884	80.061	19.996	100.579	20.291	1.049	1.102	900.266
52.500	114.431	80.058	19.997	100.575	20.291	1.069	1.120	900.242
53.000	114.909	80.057	19.996	100.572	20.293	0.937	1.025	900.212
53.500	115.465	80.056	19.997	100.573	20.294	0.852	1.033	900.254
54.000	115.969	80.059	19.996	100.567	20.289	1.370	1.060	900.236
54.500	116.537	80.059	19.996	100.564	20.290	1.287	1.071	900.223
55.000	117.029	80.059	19.997	100.563	20.291	1.129	1.060	900.218
55.500	117.601	80.061	19.997	100.565	20.289	1.197	1.064	900.219
56.000	118.135	80.059	19.996	100.564	20.292	0.944	1.107	900.239
56.500	118.672	80.057	19.997	100.569	20.293	0.935	1.071	900.218
57.000	119.208	80.056	19.997	100.570	20.294	0.815	1.072	900.223
57.500	119.769	80.058	19.998	100.565	20.297	0.612	1.096	900.219
58.001	120.295	80.055	19.998	100.561	20.295	0.791	1.087	900.235
58.500	120.805	80.056	19.998	100.559	20.296	0.819	1.037	900.245
59.000	121.361	80.057	19.998	100.549	20.297	0.730	1.066	900.246
59.500	121.893	80.059	19.997	100.541	20.298	0.701	1.088	900.219
60.000	122.427	80.059	19.998	100.537	20.299	0.661	1.066	900.221
60.500	122.944	80.059	19.998	100.533	20.295	0.889	1.050	900.198
61.001	123.470	80.056	19.998	100.531	20.296	0.783	1.042	900.227
61.501	124.035	80.055	19.998	100.529	20.297	0.685	1.092	900.250
62.000	124.550	80.057	19.997	100.533	20.295	0.799	1.081	900.255
62.500	125.091	80.058	19.997	100.540	20.295	0.829	1.056	900.189
63.000	125.618	80.057	19.997	100.541	20.296	0.792	1.068	900.211
63.500	126.148	80.056	19.999	100.538	20.295	0.876	1.057	900.251
64.000	126.652	80.054	19.998	100.541	20.292	1.087	1.034	900.184
64.500	127.197	80.056	19.997	100.543	20.292	1.176	1.049	900.205
65.000	127.691	80.058	19.997	100.537	20.291	1.385	1.039	900.201
65.500	128.255	80.056	19.996	100.530	20.290	1.438	1.058	900.198
66.000	128.768	80.057	19.998	100.525	20.289	1.537	1.077	900.248
66.500	129.294	80.057	19.997	100.529	20.292	1.423	1.038	900.230
67.001	129.823	80.053	19.996	100.527	20.291	1.645	1.054	900.238
67.501	130.350	80.054	19.997	100.526	20.292	1.560	1.057	900.208
68.000	130.899	80.056	19.998	100.532	20.290	1.746	1.077	900.236
68.500	131.415	80.055	19.997	100.536	20.291	1.621	1.065	900.234
69.000	131.912	80.056	19.998	100.532	20.287	1.947	1.012	900.223
69.500	132.483	80.055	19.998	100.536	20.288	1.858	1.067	900.252
70.000	132.984	80.056	19.998	100.536	20.287	1.914	1.073	900.221
70.500	133.550	80.058	19.998	100.530	20.288	1.725	1.067	900.225
71.000	134.059	80.058	19.996	100.530	20.284	2.078	1.075	900.247
71.501	134.580	80.058	19.997	100.531	20.285	2.140	1.030	900.243
72.001	135.117	80.057	19.997	100.520	20.284	2.202	1.058	900.206
72.500	135.634	80.058	19.996	100.516	20.283	2.292	1.054	900.233
73.000	136.169	80.058	19.996	100.517	20.285	2.177	1.052	900.232
73.501	136.680	80.057	19.997	100.512	20.281	2.377	1.045	900.223
74.001	137.206	80.055	19.996	100.505	20.279	2.552	1.037	900.227
74.500	137.733	80.056	19.997	100.502	20.278	2.564	1.055	900.212
75.000	138.254	80.055	19.998	100.499	20.278	2.545	1.048	900.218
75.501	138.767	80.057	19.996	100.496	20.279	2.347	1.033	900.203
76.001	139.315	80.059	19.997	100.499	20.278	2.551	1.060	900.242
76.501	139.848	80.056	19.996	100.500	20.279	2.616	1.083	900.227
77.000	140.331	80.055	19.997	100.503	20.279	2.608	1.017	900.208
77.501	140.904	80.056	19.998	100.507	20.276	2.903	1.055	900.212
78.001	141.395	80.056	19.997	100.508	20.276	3.063	1.064	900.229
78.500	141.902	80.057	19.997	100.501	20.275	3.175	0.999	900.183
79.000	142.439	80.056	19.998	100.496	20.275	3.119	1.044	900.194
79.500	142.933	80.057	19.998	100.499	20.271	3.404	1.030	900.190
80.000	143.489	80.055	19.999	100.493	20.271	3.424	1.050	900.186
80.501	144.023	80.056	19.999	100.496	20.266	3.830	1.090	900.199
81.001	144.516	80.058	19.999	100.502	20.267	3.746	1.027	900.194
81.501	145.056	80.056	19.997	100.506	20.264	4.026	1.034	900.179
82.000	145.524	80.056	19.997	100.507	20.265	4.063	1.008	900.187
82.501	146.125	80.057	19.997	100.514	20.261	4.400	1.068	900.188
83.001	146.614	80.055	19.998	100.511	20.262	4.248	1.090	900.189
83.500	147.106	80.055	19.997	100.500	20.263	4.172	0.982	900.176
84.000	147.647	80.057	19.998	100.498	20.262	4.251	1.033	900.171
84.500	148.146	80.056	19.997	100.495	20.261	4.354	1.039	900.196
85.001	148.689	80.055	19.997	100.487	20.259	4.486	1.041	900.217
85.501	149.215	80.056	19.999	100.479	20.260	4.390	1.069	900.216
86.001	149.718	80.055	20.000	100.479	20.257	4.680	1.029	900.192
86.501	150.240	80.057	19.999	100.483	20.256	4.736	1.024	900.196
87.001	150.754	80.055	19.998	100.483	20.255	4.772	1.037	900.215
87.500	151.269	80.056	19.997	100.483	20.253	4.949	1.030	900.211
88.000	151.787	80.057	19.997	100.483	20.253	4.990	1.033	900.159
88.501	152.284	80.056	19.998	100.483	20.252	5.168	1.013	900.216
89.002	152.845	80.058	19.997	100.477	20.252	5.259	1.057	900.208
89.502	153.333	80.060	19.998	100.469	20.252	5.206	1.050	900.205
90.002	153.838	80.058	19.998	100.469	20.252	5.247	0.994	900.210
90.501	154.376	80.057	19.997	100.476	20.253	5.017	1.044	900.214
91.001	154.864	80.054	19.998	100.476	20.249	5.415	1.025	900.189
91.501	155.390	80.054	19.999	100.473	20.247	5.531	1.013	900.204
92.001	155.913	80.056	19.999	100.472	20.245	5.738	1.050	900.195
92.501	156.420	80.056	19.997	100.474	20.241	6.102	1.030	900.189
93.001	156.930	80.055	19.996	100.467	20.240	6.292	1.016	900.184
93.502	157.435	80.058	19.996	100.470	20.239	6.454	1.015	900.171
94.001	157.986	80.057	19.997	100.473	20.235	6.700	1.056	900.189
94.502	158.505	80.060	19.997	100.477	20.238	6.486	1.070	900.166
95.001	158.979	80.060	19.998	100.470	20.234	6.705	0.994	900.175
95.501	159.492	80.059	19.999	100.469	20.234	6.741	0.987	900.183
96.001	160.013	80.057	19.998	100.462	20.230	7.023	1.034	900.180
96.501	160.519	80.055	19.997	100.458	20.227	7.232	1.028	900.172
97.001	161.042	80.057	20.000	100.457	20.227	7.265	1.029	900.194
97.501	161.584	80.057	20.000	100.463	20.223	7.540	1.065	900.161
98.001	162.060	80.055	19.998	100.468	20.223	7.549	1.018	900.183
98.501	162.576	80.056	19.997	100.468	20.220	7.783	0.992	900.169
99.001	163.106	80.058	19.997	100.466	20.218	7.906	1.046	900.185
99.501	163.603	80.056	19.999	100.462	20.211	8.402	1.027	900.161
100.001	164.127	80.056	19.999	100.453	20.207	8.726	1.020	900.190
100.501	164.657	80.060	19.997	100.444	20.206	8.741	1.054	900.163
101.001	165.157	80.056	19.997	100.446	20.202	9.079	1.030	900.199
101.501	165.662	80.059	19.998	100.450	20.199	9.304	1.005	900.162
102.001	166.201	80.057	19.997	100.450	20.197	9.530	1.044	900.191
102.501	166.716	80.057	19.999	100.456	20.193	9.870	1.054	900.183
103.001	167.220	80.057	19.998	100.455	20.191	10.114	1.020	900.178
103.501	167.721	80.054	19.997	100.452	20.184	10.600	1.005	900.153
104.001	168.199	80.058	19.998	100.452	20.179	10.977	0.979	900.170
104.501	168.742	80.058	19.997	100.454	20.176	11.261	1.021	900.195
105.001	169.224	80.055	19.998	100.453	20.169	11.727	1.025	900.173
105.501	169.738	80.055	19.998	100.455	20.167	11.878	0.996	900.160
106.001	170.242	80.055	19.997	100.457	20.161	12.395	1.018	900.140
106.501	170.758	80.054	19.997	100.457	20.156	12.868	1.021	900.170
107.001	171.290	80.056	19.997	100.459	20.151	13.324	1.048	900.192
107.501	171.799	80.054	19.996	100.460	20.148	13.567	1.040	900.177
108.001	172.286	80.055	19.998	100.462	20.144	13.946	0.996	900.147
108.501	172.811	80.054	19.998	100.461	20.133	14.763	1.013	900.150
109.001	173.296	80.055	19.998	100.459	20.132	14.837	1.009	900.134
109.501	173.856	80.057	19.998	100.452	20.125	15.334	1.045	900.152
110.001	174.335	80.056	19.998	100.451	20.121	15.686	1.040	900.163
110.501	174.842	80.058	19.999	100.447	20.113	16.259	0.986	900.162
111.001	175.379	80.059	19.998	100.453	20.106	16.851	1.043	900.168
111.501	175.891	80.058	19.997	100.451	20.100	17.396	1.049	900.167
112.002	176.417	80.057	19.998	100.449	20.097	17.717	1.038	900.179
112.502	176.910	80.056	19.998	100.451	20.091	18.224	1.018	900.147
113.002	177.424	80.055	19.997	100.453	20.085	18.766	1.008	900.189
113.501	177.923	80.056	19.997	100.444	20.080	19.127	1.013	900.152
114.002	178.437	80.056	19.999	100.443	20.073	19.807	1.014	900.186
114.502	178.950	80.055	19.998	100.443	20.069	20.140	1.028	900.167
115.001	179.423	80.056	19.996	100.434	20.062	20.656	0.986	900.166
115.501	179.945	80.057	19.997	100.432	20.055	21.260	0.995	900.157
116.001	180.445	80.055	19.996	100.433	20.049	21.740	1.023	900.183
116.501	180.994	80.057	19.998	100.436	20.045	22.043	1.049	900.164
117.001	181.503	80.057	19.997	100.439	20.042	22.297	1.058	900.149
117.501	182.025	80.056	19.996	100.441	20.035	22.805	1.031	900.151
118.001	182.530	80.055	19.998	100.436	20.033	23.048	1.026	900.163
118.501	183.022	80.056	19.997	100.433	20.025	23.658	0.997	900.165
119.002	183.573	80.058	19.997	100.424	20.021	23.921	1.043	900.189
119.501	184.061	80.055	19.998	100.422	20.018	24.217	1.040	900.163
120.001	184.585	80.055	19.997	100.417	20.016	24.368	1.013	900.149
120.501	185.091	80.058	19.997	100.416	20.007	25.003	1.030	900.178
121.001	185.557	80.054	19.996	100.413	20.006	25.085	0.972	900.147
121.501	186.053	80.055	19.997	100.408	20.004	25.358	0.962	900.145
122.001	186.594	80.057	19.998	100.403	19.998	25.889	1.037	900.178
122.501	187.129	80.057	19.996	100.403	19.995	26.118	1.077	900.168
123.001	187.611	80.056	19.997	100.400	19.997	26.019	1.016	900.184
123.501	188.100	80.054	19.997	100.398	19.990	26.548	0.970	900.176
124.001	188.629	80.055	19.997	100.402	19.983	27.060	1.018	900.141
124.501	189.150	80.057	19.997	100.402	19.985	26.959	1.049	900.144
125.002	189.647	80.056	19.998	100.399	19.981	27.237	1.018	900.178
125.501	190.186	80.057	19.997	100.396	19.984	27.049	1.036	900.174
126.001	190.667	80.056	19.997	100.398	19.981	27.316	1.020	900.177
126.501	191.180	80.055	19.996	100.395	19.983	27.139	0.994	900.138
127.002	191.678	80.058	19.997	100.395	19.982	27.316	1.010	900.143
127.502	192.206	80.058	19.998	100.397	19.979	27.533	1.026	900.141
128.002	192.676	80.057	19.997	100.400	19.979	27.620	0.998	900.156
128.502	193.220	80.056	19.997	100.394	19.981	27.494	1.014	900.163
129.002	193.716	80.055	19.997	100.392	19.980	27.585	1.040	900.145
129.501	194.216	80.055	19.996	100.386	19.984	27.299	0.997	900.155
130.001	194.731	80.057	19.996	100.382	19.983	27.419	1.015	900.153
130.501	195.246	80.056	19.998	100.381	19.986	27.292	1.030	900.143
131.001	195.739	80.057	19.997	100.382	19.987	27.252	1.008	900.165
131.501	196.257	80.055	19.997	100.383	19.992	26.890	1.010	900.149
132.001	196.782	80.056	19.997	100.385	19.993	26.823	1.042	900.157
132.502	197.280	80.057	19.997	100.383	20.000	26.359	1.023	900.144
133.001	197.801	80.057	19.998	100.379	20.003	26.093	1.019	900.157
133.501	198.298	80.058	19.997	100.377	20.009	25.650	1.018	900.180
134.001	198.799	80.058	19.997	100.376	20.012	25.375	0.998	900.148
134.501	199.324	80.056	19.998	100.372	20.015	25.133	1.025	900.141
135.002	199.795	80.057	19.997	100.371	20.025	24.375	0.996	900.170
135.502	200.314	80.059	19.998	100.369	20.029	24.016	0.991	900.166
136.001	200.866	80.057	19.997	100.365	20.029	23.969	1.070	900.166
136.502	201.379	80.056	19.998	100.360	20.040	22.995	1.064	900.132
137.002	201.877	80.058	19.997	100.362	20.044	22.607	1.012	900.129
137.502	202.370	80.055	19.997	100.355	20.054	21.907	0.991	900.154
138.002	202.899	80.060	19.997	100.352	20.058	21.433	1.023	900.131
138.501	203.382	80.060	19.997	100.350	20.068	20.598	1.013	900.113
139.001	203.883	80.059	19.997	100.346	20.073	20.234	0.983	900.119
139.502	204.398	80.057	19.996	100.341	20.076	20.083	1.016	900.145
140.002	204.869	80.056	19.997	100.344	20.088	19.227	0.987	900.136
140.501	205.392	80.056	19.996	100.344	20.096	18.517	0.994	900.123
141.001	205.928	80.056	19.996	100.343	20.103	17.961	1.058	900.121
141.502	206.424	80.054	19.997	100.346	20.109	17.428	1.032	900.110
142.001	206.941	80.053	19.996	100.350	20.120	16.556	1.013	900.136
142.502	207.474	80.055	19.997	100.347	20.125	16.086	1.050	900.152
143.002	207.960	80.054	19.997	100.349	20.132	15.454	1.020	900.144
143.501	208.437	80.058	19.997	100.355	20.139	14.896	0.963	900.114
144.001	208.983	80.058	19.997	100.363	20.144	14.429	1.023	900.121
144.501	209.475	80.056	19.997	100.368	20.151	13.878	1.038	900.166
145.001	209.996	80.055	19.997	100.371	20.161	13.066	1.013	900.133
145.501	210.526	80.054	19.998	100.376	20.164	12.802	1.052	900.143
146.001	211.012	80.056	19.998	100.378	20.174	11.977	1.017	900.142
146.501	211.527	80.055	19.996	100.375	20.181	11.376	1.002	900.126
147.001	212.011	80.055	19.998	100.370	20.188	10.864	0.999	900.134
147.501	212.538	80.058	19.998	100.372	20.188	10.900	1.010	900.119
148.001	213.066	80.057	19.998	100.372	20.193	10.429	1.055	900.145
148.501	213.560	80.055	19.997	100.372	20.199	9.999	1.023	900.114
149.001	214.044	80.057	19.997	100.379	20.203	9.712	0.978	900.146
149.501	214.550	80.059	19.997	100.388	20.209	9.249	0.990	900.161
150.001	215.056	80.057	19.997	100.395	20.215	8.726	1.012	900.121
150.502	215.585	80.056	19.996	100.396	20.218	8.583	1.034	900.140
151.002	216.057	80.056	19.998	100.399	20.223	8.177	1.001	900.110
151.502	216.593	80.059	19.997	100.400	20.225	7.964	1.008	900.137
152.002	217.102	80.057	19.997	100.400	20.226	7.850	1.044	900.146
152.502	217.616	80.055	19.999	100.405	20.231	7.441	1.024	900.133
153.002	218.127	80.055	19.998	100.409	20.232	7.352	1.025	900.147
153.502	218.613	80.056	19.997	100.410	20.230	7.498	0.998	900.118
154.001	219.123	80.057	19.997	100.412	20.238	6.896	0.996	900.146
154.502	219.621	80.059	19.997	100.411	20.242	6.703	1.007	900.128
155.002	220.128	80.059	19.998	100.411	20.244	6.624	1.006	900.114
155.502	220.684	80.058	19.998	100.415	20.245	6.581	1.063	900.121
156.001	221.191	80.055	19.996	100.412	20.244	6.624	1.063	900.148
156.502	221.632	80.055	19.997	100.412	20.245	6.605	0.948	900.113
157.001	222.155	80.056	19.998	100.415	20.245	6.596	0.964	900.110
157.501	222.651	80.057	19.998	100.414	20.250	6.223	1.020	900.107
158.001	223.147	80.057	19.998	100.409	20.250	6.241	0.991	900.123
158.502	223.685	80.057	19.999	100.413	20.248	6.457	1.033	900.092
159.001	224.158	80.057	19.998	100.416	20.253	6.110	1.012	900.114
159.501	224.729	80.058	19.999	100.418	20.250	6.380	1.045	900.082
160.001	225.179	80.059	19.998	100.418	20.252	6.352	1.021	900.103
160.501	225.698	80.056	19.998	100.423	20.251	6.498	0.969	900.107
161.001	226.200	80.056	19.999	100.422	20.251	6.439	1.021	900.090
161.502	226.691	80.055	19.997	100.417	20.251	6.445	0.992	900.145
162.002	227.211	80.057	19.998	100.410	20.255	6.184	1.011	900.097
162.501	227.709	80.059	19.999	100.405	20.253	6.298	1.019	900.084
163.002	228.229	80.058	19.997	100.401	20.255	6.145	1.017	900.114
163.502	228.754	80.056	19.999	100.402	20.254	6.289	1.045	900.112
164.002	229.230	80.057	20.000	100.400	20.255	6.253	1.001	900.123
164.501	229.734	80.056	19.999	100.402	20.261	5.856	0.981	900.123
165.001	230.283	80.059	19.999	100.406	20.257	6.244	1.052	900.105
165.502	230.759	80.058	19.999	100.400	20.259	6.074	1.024	900.158
166.002	231.245	80.055	19.999	100.396	20.260	6.054	0.963	900.110
166.502	231.752	80.053	20.000	100.397	20.259	6.047	0.993	900.102
167.002	232.267	80.055	19.999	100.388	20.258	6.071	1.022	900.122
167.502	232.724	80.053	19.998	100.381	20.258	6.161	0.973	900.107
168.001	233.255	80.056	19.999	100.382	20.257	6.293	0.988	900.085
168.502	233.752	80.053	19.999	100.379	20.259	6.122	1.028	900.092
169.002	234.290	80.054	19.999	100.378	20.259	6.223	1.035	900.091
169.502	234.769	80.054	20.001	100.384	20.258	6.348	1.017	900.105
170.002	235.267	80.052	19.999	100.385	20.256	6.587	0.977	900.094
170.502	235.772	80.055	20.000	100.384	20.256	6.663	1.004	900.095
171.001	236.294	80.058	19.999	100.376	20.256	6.689	1.027	900.123
171.502	236.779	80.058	19.999	100.368	20.258	6.546	1.006	900.126
172.002	237.265	80.058	19.999	100.365	20.260	6.361	0.971	900.136
172.502	237.790	80.057	19.998	100.363	20.260	6.393	1.011	900.121
173.002	238.286	80.058	19.998	100.361	20.259	6.407	1.021	900.109
173.501	238.800	80.060	19.999	100.367	20.260	6.342	1.011	900.109
174.001	239.289	80.056	19.999	100.367	20.262	6.213	1.004	900.126
174.501	239.828	80.057	20.000	100.365	20.264	6.114	1.027	900.095
175.002	240.334	80.058	20.001	100.365	20.262	6.256	1.044	900.115
175.502	240.826	80.056	20.000	100.360	20.264	6.085	0.998	900.110
176.002	241.326	80.059	20.000	100.357	20.263	6.151	0.992	900.129
176.502	241.835	80.058	19.999	100.355	20.266	5.956	1.009	900.132
177.002	242.320	80.056	19.998	100.346	20.265	6.026	0.995	900.090
177.502	242.815	80.055	19.998	100.340	20.266	6.001	0.980	900.085
178.002	243.354	80.055	19.999	100.339	20.266	6.055	1.033	900.091
178.502	243.824	80.056	19.999	100.336	20.269	5.773	1.008	900.124
179.002	244.364	80.055	20.000	100.338	20.268	5.861	1.010	900.140
179.502	244.828	80.054	19.999	100.339	20.270	5.648	1.003	900.084
180.002	245.343	80.055	19.999	100.341	20.270	5.610	0.979	900.091
180.502	245.836	80.054	19.999	100.343	20.271	5.502	1.008	900.075
181.003	246.342	80.052	19.999	100.340	20.270	5.504	0.999	900.097
