File Name:	PMMA_DE_6mm_60Kmin_4mg_R1.txt
Version: 8.3.7.3
Date:	06 Aug 2024
Operator:	KH
Test ID:	PMMA_DE_6mm_4mg_60K_R1
Sample ID:	PMMA_DE_6mm_4mg
Sample Mass (mg):	4.0200
Sample Cup Mass (mg):	182.3000
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	99.875
Baseline O2:	20.432
Instrument ID:
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.140	80.058	19.997	99.875	20.411	-9.838	0.036	900.380
0.500	75.100	80.058	19.998	99.874	20.391	-8.637	-0.039	900.371
1.000	75.080	80.057	19.998	99.880	20.370	-7.302	-0.060	900.362
1.500	75.085	80.057	19.997	99.900	20.349	-5.832	-0.015	900.376
2.000	75.093	80.054	19.999	99.956	20.328	-4.257	0.013	900.354
2.500	75.115	80.058	19.999	100.044	20.311	-2.945	0.030	900.390
3.000	75.146	80.057	19.999	100.153	20.297	-1.814	0.052	900.388
3.501	75.183	80.056	19.999	100.271	20.285	-0.784	0.068	900.417
4.000	75.188	80.055	19.997	100.382	20.278	-0.268	0.043	900.366
4.500	75.261	80.054	19.997	100.459	20.272	0.143	0.078	900.388
5.000	75.294	80.054	19.998	100.508	20.267	-0.046	0.106	900.382
5.500	75.348	80.055	19.998	100.543	20.259	-0.576	0.087	900.383
6.000	75.440	80.054	19.999	100.575	20.261	-2.576	0.146	900.369
6.500	75.522	80.057	19.998	100.605	20.259	-4.649	0.175	900.412
6.999	75.626	80.057	19.998	100.636	20.259	-6.826	0.186	900.364
7.499	75.664	80.055	19.999	100.668	20.258	-8.799	0.141	900.378
7.999	75.785	80.058	19.999	100.689	20.257	-10.233	0.159	900.375
8.499	75.936	80.057	19.998	100.703	20.255	-10.955	0.272	900.369
9.000	76.033	80.057	19.998	100.711	20.258	-11.318	0.248	900.355
9.500	76.132	80.055	19.997	100.710	20.254	-10.683	0.196	900.404
10.000	76.238	80.054	19.997	100.706	20.249	-9.974	0.206	900.357
10.500	76.387	80.054	19.997	100.699	20.240	-8.821	0.255	900.380
11.000	76.524	80.055	19.997	100.697	20.218	-6.759	0.285	900.377
11.500	76.673	80.053	19.995	100.697	20.188	-3.922	0.286	900.370
12.001	76.812	80.055	19.996	100.704	20.158	-1.041	0.288	900.357
12.500	76.996	80.055	19.997	100.750	20.128	1.777	0.323	900.403
13.000	77.186	80.053	19.997	100.851	20.111	3.671	0.374	900.355
13.500	77.403	80.058	19.998	101.000	20.096	5.229	0.408	900.366
14.000	77.597	80.055	19.996	101.177	20.090	6.223	0.411	900.356
14.499	77.855	80.055	19.997	101.353	20.085	7.024	0.451	900.340
15.000	78.132	80.056	19.996	101.483	20.086	7.287	0.534	900.365
15.500	78.402	80.054	19.996	101.556	20.092	7.157	0.547	900.353
16.000	78.658	80.055	19.997	101.575	20.095	7.208	0.526	900.308
16.500	78.960	80.056	19.996	101.557	20.102	7.092	0.558	900.332
17.000	79.348	80.056	19.997	101.527	20.112	6.714	0.690	900.355
17.500	79.699	80.056	19.997	101.504	20.116	6.678	0.739	900.310
